admin_description,area_code,weekly_payment_gross,weekly_payment_gross_CV,weekly_payment_excluding,weekly_payment_excluding_CV,weekly_payment_basic,weekly_payment_basic_CV,overtime_payment,overtime_payment_CV,hourly_payment,hourly_payment_CV,hourly_payment_excluding,hourly_payment_excluding_CV,annual_payment_gross,annual_payment_gross_CV,annual_payment_incentive,annual_payment_incentive_CV,hours_worked_total,hours_worked_total_CV,hours_worked_basic,hours_worked_basic_CV,hours_worked_overtime,hours_worked_overtime_CV
pca10:Birmingham. Erdington,E14000561,439.1,8.0,422.3,7.8,407.5,7.3,,,11.10,7.9,11.07,7.6,23.019,9.9,,,37.5,1.6,37.5,0.5,,
pca10:Birmingham. Hall Green,E14000562,513.4,8.9,511.7,7.4,488.2,7.8,,,13.01,8.6,13.09,8.4,23.950,11.0,,,37.5,0.9,37.5,0.3,,
pca10:Birmingham. Hodge Hill,E14000563,407.4,7.7,396.3,7.5,377.4,7.1,,,10.10,7.5,10.10,7.7,,,,,37.8,1.7,37.5,0.7,,
pca10:Birmingham. Ladywood,E14000564,441.2,8.2,427.8,8.9,407.1,6.8,,,11.45,8.2,11.42,8.2,23.026,8.8,,,37.5,1.7,37.5,0.1,,
pca10:Birmingham. Northfield,E14000565,451.4,5.6,439.5,4.9,422.4,4.8,,,11.56,5.0,11.26,5.3,24.287,10.0,,,37.5,1.2,37.5,0.2,,
pca10:Birmingham. Perry Barr,E14000566,441.2,6.6,419.7,5.7,408.1,5.3,,,11.17,5.7,10.95,5.7,23.507,8.1,,,37.6,1.0,37.5,0.6,,
pca10:Birmingham. Selly Oak,E14000567,491.3,5.7,475.1,6.7,460.1,6.5,,,12.77,7.7,12.74,7.6,24.528,12.0,,,37.5,0.7,37.4,0.3,,
pca10:Birmingham. Yardley,E14000568,444.4,7.5,431.6,7.1,427.8,6.7,,,11.46,7.2,11.46,7.1,23.200,11.0,,,37.8,1.5,37.5,0.7,,
pca10:Bromsgrove,E14000605,575.2,7.5,562.5,7.3,551.7,7.1,,,14.69,7.8,14.37,8.0,32.028,9.1,,,37.5,0.3,37.4,0.3,,
pca10:Burton,E14000610,479.3,6.4,467.6,6.2,455.8,5.2,,,12.25,6.5,12.20,5.9,25.296,8.0,,,39.1,1.4,38.7,1.1,,
pca10:Cannock Chase,E14000618,477.9,6.0,438.0,6.5,421.8,6.3,,,11.12,6.7,11.07,7.1,24.565,7.2,,,39.0,1.6,38.0,1.0,,
pca10:Coventry North East,E14000649,450.8,4.8,412.6,5.4,409.8,5.1,,,11.22,5.8,10.95,5.7,23.014,17.0,,,37.7,1.3,37.5,0.6,,
pca10:Coventry North West,E14000650,501.3,6.4,484.5,6.3,480.7,6.3,,,12.87,6.2,12.87,6.3,28.001,7.9,,,37.6,1.0,37.5,0.3,,
pca10:Coventry South,E14000651,534.0,6.7,517.3,6.5,504.3,6.3,,,13.86,7.3,13.61,7.1,28.602,12.0,,,37.5,1.2,37.5,0.4,,
pca10:Dudley North,E14000671,474.4,6.5,439.7,6.8,418.8,7.1,,,11.57,6.0,11.33,6.9,24.031,10.0,,,37.9,1.8,37.5,1.4,,
pca10:Dudley South,E14000672,426.5,8.5,407.8,8.0,388.9,7.9,,,10.55,8.2,10.50,6.8,21.179,10.0,,,38.5,1.4,37.5,1.0,,
pca10:Halesowen and Rowley Regis,E14000722,459.2,6.5,457.5,6.8,446.4,7.1,,,12.08,7.1,12.00,7.0,23.666,12.0,,,37.5,1.2,37.5,1.1,,
pca10:Hereford and South Herefordshire,E14000743,411.2,9.5,402.7,8.9,391.9,8.5,,,10.25,8.2,10.22,8.1,20.998,9.5,,,39.0,1.6,37.9,1.6,,
pca10:Kenilworth and Southam,E14000767,582.8,10.0,575.0,9.3,572.8,9.0,,,15.32,9.9,15.32,9.8,32.566,13.0,,,37.5,1.0,37.5,0.7,,
pca10:Lichfield,E14000791,618.0,8.1,596.8,9.5,587.2,10.0,,,15.60,9.4,15.60,9.5,30.000,18.0,,,37.5,0.8,37.3,0.4,,
pca10:Ludlow,E14000799,554.8,7.4,522.9,9.4,515.7,9.4,,,13.10,10.0,13.10,10.0,28.048,15.0,,,37.8,1.7,37.5,1.8,,
pca10:Meriden,E14000812,563.5,6.8,543.7,7.4,536.0,7.0,,,14.50,7.8,14.50,7.1,29.317,8.5,,,37.5,0.1,37.5,0.3,,
pca10:Mid Worcestershire,E14000818,490.1,7.4,479.1,7.3,457.1,7.5,,,11.93,8.5,11.93,8.6,24.999,7.9,,,37.7,1.0,37.5,1.0,,
pca10:NewcastleunderLyme,E14000834,468.8,6.4,450.4,5.6,437.7,4.7,,,11.94,6.8,11.73,6.7,24.840,7.7,,,37.5,1.6,37.5,1.0,,
pca10:North Herefordshire,E14000847,414.3,7.4,410.3,7.6,407.6,8.1,,,10.23,7.6,10.23,7.6,21.319,9.2,,,38.6,1.7,37.5,1.4,,
pca10:North Shropshire,E14000849,479.7,8.5,465.4,7.6,453.9,6.4,,,11.86,9.4,11.50,9.1,26.322,9.6,,,39.0,1.6,37.5,1.0,,
pca10:North Warwickshire,E14000854,490.2,6.7,469.5,6.0,444.7,5.9,,,12.43,6.1,12.30,5.4,26.258,7.1,,,37.9,1.1,37.5,1.0,,
pca10:Nuneaton,E14000868,465.4,6.3,446.5,5.2,435.6,5.5,,,11.60,6.4,11.53,6.2,26.139,8.4,,,38.3,1.2,37.5,1.0,,
pca10:Redditch,E14000892,428.8,7.0,399.2,7.1,395.7,7.2,,,10.74,7.4,10.62,7.4,23.073,8.1,,,38.5,1.7,37.5,1.0,,
pca10:Rugby,E14000905,558.2,5.8,539.4,5.9,498.0,6.4,,,14.11,7.1,13.96,7.7,28.372,7.8,,,37.5,1.0,37.5,0.0,,
pca10:Shrewsbury and Atcham,E14000926,482.3,8.0,469.3,8.0,460.0,7.3,,,12.36,6.5,12.36,6.7,27.222,6.9,,,37.5,1.2,37.5,0.9,,
pca10:Solihull,E14000931,609.7,6.4,592.3,7.0,571.3,6.0,,,16.03,7.4,15.94,7.7,32.508,7.9,,,37.5,0.2,37.5,0.3,,
pca10:South Staffordshire,E14000945,541.8,6.4,523.7,5.9,504.2,6.3,,,13.30,7.6,13.16,7.5,27.413,9.2,,,37.5,1.7,37.5,0.3,,
pca10:Stafford,E14000965,534.4,7.8,513.4,7.4,483.3,8.2,,,13.71,6.3,13.34,7.0,28.006,8.5,,,37.5,0.7,37.3,0.3,,
pca10:Staffordshire Moorlands,E14000966,528.1,7.7,494.2,7.9,481.8,5.6,,,13.09,7.4,12.91,6.9,27.490,8.6,,,37.5,1.7,37.5,1.3,,
pca10:StokeonTrent Central,E14000972,423.0,8.2,413.4,7.5,407.7,6.4,,,10.77,6.9,10.82,6.5,21.714,6.8,,,38.6,1.4,37.5,1.0,,
pca10:StokeonTrent North,E14000973,430.4,4.9,397.9,4.5,386.2,4.3,,,10.58,5.3,10.40,5.0,22.056,9.0,,,39.0,1.6,37.5,1.0,,
pca10:StokeonTrent South,E14000974,453.2,5.5,430.3,6.3,422.9,6.4,,,11.72,5.6,11.38,6.2,23.408,6.7,,,38.4,1.2,37.5,1.1,,
pca10:Stone,E14000975,533.1,8.2,515.0,9.1,513.6,9.0,,,13.33,7.3,13.18,8.1,27.136,12.0,,,37.5,1.2,37.5,1.0,,
pca10:Stourbridge,E14000976,535.8,6.1,519.9,6.7,472.9,8.1,,,13.52,8.7,13.54,9.3,27.233,14.0,,,37.5,1.1,37.5,1.0,,
pca10:StratfordonAvon,E14000977,562.3,7.4,529.5,8.8,516.8,8.7,,,14.59,9.7,14.46,9.9,29.534,8.9,,,37.5,1.4,37.5,0.3,,
pca10:Sutton Coldfield,E14000985,597.9,6.4,596.8,6.6,558.8,6.9,,,15.85,7.7,15.54,7.8,31.228,6.7,,,37.5,0.3,37.5,0.3,,
pca10:Tamworth,E14000986,498.3,9.0,478.9,8.2,467.8,7.4,,,12.23,8.8,12.06,8.7,26.213,9.9,,,39.0,1.5,37.5,1.4,,
pca10:Telford,E14000989,440.4,5.7,399.6,5.8,386.2,5.9,,,10.95,6.0,10.65,6.7,22.354,9.7,,,37.7,1.0,37.5,0.7,,
pca10:The Wrekin,E14000992,507.3,8.3,487.9,6.8,466.8,6.3,,,13.10,6.4,13.03,6.3,25.885,9.5,,,37.9,1.0,37.5,1.0,,
pca10:Walsall North,E14001011,418.6,5.6,406.9,4.8,381.7,5.9,,,10.44,6.7,10.24,6.8,21.394,8.5,,,37.6,1.2,37.5,1.2,,
pca10:Walsall South,E14001012,449.9,8.5,420.8,9.1,418.1,7.5,,,11.07,11.0,11.06,10.0,22.343,8.1,,,37.5,1.5,37.5,0.7,,
pca10:Warley,E14001016,423.9,6.2,409.3,6.0,391.8,5.8,,,10.53,6.3,10.60,6.7,21.070,12.0,,,37.5,0.6,37.5,0.3,,
pca10:Warwick and Leamington,E14001019,531.9,5.8,521.2,5.9,512.0,6.5,,,14.39,6.5,14.19,6.6,28.781,6.1,,,37.5,0.7,37.4,0.3,,
pca10:West Bromwich East,E14001029,465.6,8.2,455.7,8.3,428.2,7.7,,,11.77,7.7,11.61,7.5,25.959,9.8,,,37.5,1.7,37.5,1.0,,
pca10:West Bromwich West,E14001030,418.0,6.4,396.6,6.0,377.9,5.1,,,10.40,5.5,10.37,5.4,,,,,38.0,1.6,37.5,1.0,,
pca10:West Worcestershire,E14001035,455.9,8.8,449.4,8.3,449.4,7.8,,,12.01,7.2,12.01,7.0,25.991,12.0,,,37.5,1.2,37.5,0.3,,
pca10:Wolverhampton North East,E14001049,413.2,6.3,397.8,5.3,387.5,6.3,,,10.56,6.3,10.52,6.3,22.306,8.6,,,38.0,1.4,37.5,1.4,,
pca10:Wolverhampton South East,E14001050,400.6,8.0,382.8,7.5,370.2,5.7,,,10.03,7.1,10.00,6.7,22.182,8.6,,,39.0,1.6,37.8,1.5,,
pca10:Wolverhampton South West,E14001051,472.7,7.2,468.6,7.3,440.6,6.4,,,12.69,6.2,12.60,6.4,24.997,8.6,,,37.5,0.6,37.5,0.3,,
pca10:Worcester,E14001052,501.7,6.2,468.3,6.3,456.8,5.3,,,12.50,5.7,12.39,5.7,26.535,15.0,,,37.5,1.6,37.5,0.3,,
pca10:Wyre Forest,E14001058,464.0,7.0,446.6,7.3,427.6,8.1,,,11.74,7.4,11.62,7.4,23.100,8.7,,,38.6,1.6,37.5,1.3,,
pca10:Basildon and Billericay,E14000544,556.0,11.0,547.7,11.0,543.0,10.0,,,14.11,11.0,13.97,11.0,29.700,16.0,,,37.5,0.4,37.5,0.3,,
pca10:Bedford,E14000552,523.5,6.0,503.9,6.7,477.6,7.3,,,13.01,6.5,13.11,6.8,27.515,6.5,,,37.5,1.1,37.5,0.3,,
pca10:Braintree,E14000590,584.8,7.0,530.2,7.1,528.9,6.8,,,14.23,7.0,14.08,7.5,30.736,6.7,,,38.8,1.6,37.5,1.4,,
pca10:Brentwood and Ongar,E14000594,645.2,10.0,603.2,11.0,594.3,8.9,,,17.23,11.0,16.59,12.0,36.561,11.0,,,37.5,0.1,37.5,0.1,,
pca10:Broadland,E14000603,555.6,8.1,494.4,8.7,494.4,7.8,,,13.23,8.0,13.04,8.5,27.943,11.0,,,37.5,1.8,37.5,1.1,,
pca10:Broxbourne,E14000606,608.5,7.1,591.7,6.0,564.6,5.5,,,15.62,7.7,15.62,7.7,31.296,7.9,,,37.5,1.1,37.5,0.4,,
pca10:Bury St Edmunds,E14000613,500.2,5.6,479.2,4.8,471.7,4.6,,,12.29,5.0,12.21,5.4,25.628,7.2,,,38.7,1.7,37.5,1.0,4.3,15.0
pca10:Cambridge,E14000617,550.7,6.6,537.5,6.6,534.6,5.8,,,14.95,6.0,14.87,6.3,30.981,16.0,,,37.5,0.3,37.4,0.3,,
pca10:Castle Point,E14000622,537.2,9.9,530.5,8.8,510.7,7.7,,,14.42,9.6,14.39,8.6,26.141,15.0,,,37.5,2.7,37.0,1.7,,
pca10:Central Suffolk and North Ipswich,E14000624,533.1,6.6,522.1,7.0,495.2,6.9,,,13.54,7.7,13.58,7.6,28.283,12.0,,,37.5,1.8,37.5,1.4,,
pca10:Chelmsford,E14000628,583.1,7.2,569.4,8.0,551.2,6.9,,,14.96,8.3,15.00,8.5,31.100,8.8,,,37.5,1.2,37.5,0.3,,
pca10:Clacton,E14000642,455.1,7.3,422.5,7.8,413.9,7.6,,,11.14,7.8,11.14,7.5,23.493,11.0,,,39.0,1.6,37.6,1.4,,
pca10:Colchester,E14000644,483.7,5.5,467.3,5.2,462.5,5.2,,,12.24,7.1,12.10,6.0,25.662,7.0,,,37.6,1.4,37.5,0.6,,
pca10:Epping Forest,E14000693,615.0,7.0,600.0,8.0,600.0,7.9,,,16.03,10.0,16.03,10.0,33.693,14.0,,,37.0,1.0,37.0,1.1,,
pca10:Great Yarmouth,E14000717,455.4,7.3,420.9,7.7,406.1,7.9,,,10.41,8.6,10.66,8.2,23.266,10.0,,,39.0,1.6,38.0,1.0,,
pca10:Harlow,E14000729,498.1,7.1,485.6,6.5,471.1,6.2,,,12.68,6.2,12.70,6.3,25.589,7.8,,,37.5,1.7,37.5,,,
pca10:Harwich and North Essex,E14000734,561.6,6.5,538.1,6.4,535.4,6.7,,,13.99,7.2,13.59,7.3,28.317,7.3,,,37.6,1.7,37.5,1.4,,
pca10:Hemel Hempstead,E14000739,540.0,6.6,528.2,6.6,500.9,6.5,,,13.72,7.1,13.81,7.1,28.822,6.9,,,37.5,1.7,37.5,0.1,,
pca10:Hertford and Stortford,E14000744,575.1,4.8,574.9,4.1,559.6,4.9,,,15.54,5.5,15.44,5.7,31.323,7.1,,,37.5,0.3,37.5,0.3,,
pca10:Hertsmere,E14000745,559.6,6.8,538.3,6.4,522.3,6.8,,,14.50,7.9,14.34,7.8,27.831,10.0,,,37.5,1.1,37.5,1.1,,
pca10:Hitchin and Harpenden,E14000749,705.1,5.4,683.2,5.7,678.1,6.6,,,19.07,8.0,19.14,7.9,38.100,6.9,,,37.5,0.3,37.5,0.3,,
pca10:Huntingdon,E14000757,542.4,6.1,516.0,5.1,505.7,5.1,,,13.78,5.2,13.75,5.4,27.888,6.7,,,37.5,1.7,37.5,0.0,,
pca10:Ipswich,E14000761,464.8,6.2,442.6,5.4,432.0,4.8,,,11.71,4.7,11.70,4.9,24.260,8.7,,,37.5,1.6,37.5,1.0,,
pca10:Luton North,E14000800,493.9,5.5,472.5,5.3,456.9,4.5,,,12.48,6.3,12.34,5.8,24.867,6.3,,,38.0,1.7,37.5,1.6,4.0,18.0
pca10:Luton South,E14000801,490.1,6.5,476.7,6.5,454.7,7.3,,,12.48,7.2,12.72,6.9,26.214,8.6,,,37.5,0.5,37.5,0.3,,
pca10:Maldon,E14000806,636.5,6.2,590.6,7.6,581.2,7.5,,,16.52,8.5,16.52,8.8,31.120,8.0,,,37.5,1.7,37.5,1.3,,
pca10:Mid Bedfordshire,E14000813,654.7,5.6,628.4,6.2,616.5,6.4,,,16.77,6.3,16.56,7.0,33.268,6.9,,,37.5,1.7,37.5,0.3,,
pca10:Mid Norfolk,E14000816,464.6,7.1,438.8,7.6,424.1,9.0,,,11.55,7.7,11.32,8.0,24.220,8.8,,,37.6,1.7,37.5,1.7,,
pca10:North East Bedfordshire,E14000841,593.5,7.0,570.3,7.7,561.4,7.1,,,15.23,8.1,15.23,7.4,31.616,9.1,,,37.5,1.7,37.5,0.3,,
pca10:North East Cambridgeshire,E14000842,459.8,5.6,432.0,5.3,418.0,6.0,50.7,18.0,10.91,5.0,10.88,5.5,24.373,7.5,,,39.0,1.6,37.6,1.0,,
pca10:North East Hertfordshire,E14000845,601.3,7.4,575.2,7.0,552.0,8.4,,,15.47,8.4,14.91,9.0,33.314,8.5,,,37.5,,37.5,0.3,,
pca10:North Norfolk,E14000848,412.0,8.6,389.7,9.3,388.0,9.8,,,10.07,8.7,9.84,8.3,21.595,12.0,,,39.8,1.3,39.0,1.4,,
pca10:North West Cambridgeshire,E14000855,514.4,5.7,492.3,5.2,476.5,5.8,,,13.00,5.2,12.77,5.1,26.961,6.4,,,37.5,1.6,37.5,0.3,,
pca10:North West Norfolk,E14000859,421.9,6.9,405.2,6.9,394.0,6.1,,,10.42,6.7,10.41,6.4,22.291,15.0,,,39.0,1.6,37.5,1.0,,
pca10:Norwich North,E14000863,447.8,8.2,434.9,8.7,431.2,8.3,,,11.56,8.3,11.23,8.8,23.632,8.1,,,37.5,1.2,37.5,0.9,,
pca10:Norwich South,E14000864,479.3,7.8,472.9,7.6,455.0,8.0,,,12.01,7.7,11.95,7.9,25.325,9.1,,,37.5,1.5,37.5,,,
pca10:Peterborough,E14000878,435.7,5.7,420.7,4.7,404.3,5.5,,,10.75,6.2,10.76,5.9,23.671,7.8,,,37.6,1.1,37.5,1.0,,
pca10:Rayleigh and Wickford,E14000888,593.1,7.8,582.6,8.0,554.6,7.5,,,15.11,8.7,15.11,8.7,31.570,8.8,,,37.5,0.8,37.5,0.3,,
pca10:Rochford and Southend East,E14000899,501.2,5.5,484.3,5.3,466.4,6.4,,,12.99,6.2,12.91,5.9,26.102,19.0,,,37.5,1.8,37.5,0.5,,
pca10:Saffron Walden,E14000910,585.4,8.2,572.7,7.9,547.2,8.5,,,15.45,9.4,15.43,9.0,29.874,12.0,,,37.5,1.1,37.5,0.3,,
pca10:South Basildon and East Thurrock,E14000933,578.3,5.8,562.8,6.4,544.7,6.1,,,15.01,6.4,14.99,6.4,30.831,5.5,,,37.5,0.9,37.5,0.7,,
pca10:South Cambridgeshire,E14000934,629.7,6.0,604.1,6.3,590.2,6.2,,,16.14,7.0,16.10,7.0,32.435,7.5,,,37.5,0.1,37.5,0.3,,
pca10:South East Cambridgeshire,E14000937,577.2,6.5,574.9,6.8,552.6,7.6,,,15.08,7.7,15.21,7.7,32.746,9.3,,,37.5,0.0,37.5,0.0,,
pca10:South Norfolk,E14000941,534.2,7.3,510.4,7.0,506.2,7.4,,,13.50,8.4,13.50,7.5,26.256,9.7,,,38.0,1.5,37.5,1.5,,
pca10:South Suffolk,E14000946,514.6,8.7,483.3,8.9,449.9,8.2,,,13.32,8.8,13.21,9.0,25.168,8.0,,,37.5,2.0,37.5,0.7,,
pca10:South West Bedfordshire,E14000949,531.5,6.5,522.0,6.6,500.5,6.6,,,13.37,7.4,13.37,7.3,27.625,12.0,,,37.5,1.6,37.5,1.6,,
pca10:South West Hertfordshire,E14000951,633.4,9.0,633.4,9.9,630.8,9.2,,,16.87,8.3,16.75,7.7,34.488,12.0,,,37.5,0.3,37.5,0.0,,
pca10:South West Norfolk,E14000952,457.3,6.8,410.8,7.3,392.6,7.9,,,10.61,6.6,10.20,6.6,,,,,39.0,1.6,38.0,1.1,,
pca10:Southend West,E14000957,539.4,9.1,514.2,9.0,498.2,9.2,,,13.82,9.2,13.71,9.3,28.906,9.2,,,37.0,1.2,37.0,1.6,,
pca10:St Albans,E14000960,714.3,7.9,704.5,7.6,675.3,7.6,,,18.17,8.3,18.24,8.3,37.622,10.0,,,37.5,0.3,37.5,0.3,,
pca10:Stevenage,E14000968,549.4,7.5,518.3,7.1,510.2,7.0,,,13.11,7.8,13.26,7.3,27.684,7.7,,,37.5,1.5,37.5,1.6,,
pca10:Suffolk Coastal,E14000981,504.7,8.7,478.1,8.5,446.9,5.3,,,12.96,7.8,12.91,7.7,25.351,8.8,,,37.7,1.7,37.5,1.1,,
pca10:Thurrock,E14000995,545.3,5.7,538.5,6.5,525.5,6.5,,,13.82,7.1,13.51,7.6,28.666,7.1,,,37.5,1.7,37.5,0.3,,
pca10:Watford,E14001021,630.7,6.8,623.7,6.8,619.3,5.5,,,16.65,6.8,16.64,7.0,33.673,8.7,,,37.5,1.6,37.5,0.0,,
pca10:Waveney,E14001022,453.0,5.7,438.0,5.4,430.3,4.9,,,11.15,6.1,11.07,6.1,23.380,6.7,,,38.3,1.7,37.5,1.0,,
pca10:Welwyn Hatfield,E14001027,585.6,6.0,553.2,5.6,549.3,5.4,,,15.63,5.4,15.42,5.3,28.908,6.6,,,37.5,0.3,37.5,0.3,,
pca10:West Suffolk,E14001034,452.0,6.1,421.2,7.2,408.0,6.8,,,10.73,6.5,10.73,6.4,23.192,9.8,,,39.0,1.6,39.0,1.5,,
pca10:Witham,E14001045,610.3,6.0,582.4,6.6,559.6,6.3,,,15.46,7.1,15.18,7.5,30.265,13.0,,,37.5,1.1,37.5,0.6,,
pca10:Barking,E14000540,516.8,5.1,488.4,4.3,487.6,4.3,,,12.67,5.8,12.54,5.3,28.081,5.5,,,38.2,1.7,37.5,1.0,,
pca10:Battersea,E14000549,678.4,5.2,670.9,5.3,670.8,5.3,,,18.07,5.7,18.07,6.0,38.166,6.8,,,37.5,0.1,37.5,0.3,,
pca10:Beckenham,E14000551,702.5,6.2,689.9,6.8,689.9,6.9,,,18.34,7.6,18.34,7.4,38.579,9.5,,,37.5,1.5,37.0,1.1,,
pca10:Bermondsey and Old Southwark,E14000553,634.1,5.5,632.4,5.5,615.2,5.9,,,16.88,5.8,16.82,5.7,34.778,8.9,,,37.5,0.2,37.5,0.5,,
pca10:Bethnal Green and Bow,E14000555,619.7,4.6,615.7,4.3,613.3,4.3,,,16.94,4.0,16.93,4.0,32.876,11.0,,,37.0,1.1,37.0,1.5,,
pca10:Bexleyheath and Crayford,E14000558,630.5,6.4,584.6,6.4,577.2,6.4,,,15.71,7.4,15.72,7.3,32.834,8.7,,,37.5,1.7,37.5,1.4,,
pca10:Brent Central,E14000591,501.6,5.8,483.4,6.6,469.5,6.1,,,12.51,8.0,12.45,8.1,25.465,8.6,,,37.5,1.7,37.5,0.3,,
pca10:Brent North,E14000592,523.1,6.6,510.5,7.0,498.3,6.5,,,13.43,7.1,13.42,7.2,28.414,5.9,,,37.5,1.7,37.5,0.4,,
pca10:Brentford and Isleworth,E14000593,642.6,6.7,623.4,6.1,619.0,6.4,,,16.25,6.8,16.26,7.0,33.701,7.1,,,37.5,1.6,37.5,,,
pca10:Bromley and Chislehurst,E14000604,713.8,8.0,700.4,8.0,676.4,8.7,,,18.53,7.5,18.79,7.3,37.170,8.8,,,37.5,1.3,37.5,1.0,,
pca10:Camberwell and Peckham,E14000615,568.1,4.5,541.8,5.3,524.1,5.4,,,14.56,5.4,14.51,5.6,29.662,4.4,,,37.5,0.3,37.5,0.3,,
pca10:Carshalton and Wallington,E14000621,581.7,4.6,565.4,4.6,564.9,5.2,,,15.39,5.8,15.39,5.6,30.370,6.8,,,37.5,1.0,37.5,0.6,,
pca10:Chelsea and Fulham,E14000629,722.0,10.0,710.5,10.0,692.1,11.0,,,19.67,10.0,19.67,10.0,,,,,37.5,1.6,37.5,1.6,,
pca10:Chingford and Woodford Green,E14000634,661.4,11.0,645.7,10.0,625.7,11.0,,,16.90,13.0,16.77,13.0,,,,,37.0,1.4,36.3,1.1,,
pca10:Chipping Barnet,E14000636,687.7,7.1,680.2,7.2,671.7,7.3,,,17.47,7.9,17.47,7.5,36.356,11.0,,,37.4,1.0,37.4,1.0,,
pca10:Cities of London and Westminster,E14000639,731.1,11.0,731.1,10.0,726.5,10.0,,,19.50,8.0,19.50,8.2,40.470,18.0,,,37.5,1.1,37.5,1.0,,
pca10:Croydon Central,E14000654,563.2,6.0,532.2,6.6,518.7,6.2,,,14.26,4.9,13.96,5.0,30.136,7.8,,,37.5,0.9,37.5,0.0,,
pca10:Croydon North,E14000655,535.3,4.8,517.9,3.5,517.5,4.4,,,13.77,5.4,13.84,5.6,28.652,12.0,,,37.5,0.9,37.5,0.2,,
pca10:Croydon South,E14000656,646.9,6.8,627.6,6.4,617.5,6.9,,,16.56,6.3,16.59,6.1,34.851,7.8,,,37.3,1.0,37.0,1.1,,
pca10:Dagenham and Rainham,E14000657,556.8,7.1,531.4,6.5,531.4,6.4,,,14.02,7.1,13.94,6.5,28.204,15.0,,,37.5,1.7,37.5,1.4,,
pca10:Dulwich and West Norwood,E14000673,696.1,4.9,690.2,5.6,687.1,5.6,,,18.73,6.4,18.73,6.2,39.700,14.0,,,37.4,1.0,37.2,1.0,,
pca10:Ealing Central and Acton,E14000674,646.7,7.6,638.7,7.7,628.0,7.4,,,17.11,6.8,17.11,7.2,34.213,9.7,,,37.5,0.4,37.5,0.0,,
pca10:Ealing North,E14000675,529.5,5.8,514.5,6.4,506.9,5.8,,,13.77,7.0,13.63,6.6,28.787,6.8,,,37.5,1.4,37.5,0.1,,
pca10:Ealing. Southall,E14000676,519.0,4.3,500.1,3.8,487.8,3.9,,,13.31,4.7,13.47,4.8,25.888,6.6,,,38.0,1.3,37.5,1.1,,
pca10:East Ham,E14000679,540.9,7.1,504.3,6.6,497.4,6.1,,,13.09,5.2,12.98,4.8,29.570,8.5,,,37.5,1.7,37.5,0.5,,
pca10:Edmonton,E14000687,501.4,6.4,488.3,6.7,479.1,5.8,,,12.78,4.8,12.78,4.9,26.305,11.0,,,37.5,1.7,37.5,1.7,,
pca10:Eltham,E14000690,614.1,5.3,608.8,5.2,594.0,5.5,,,15.87,5.9,16.18,5.3,33.806,7.0,,,37.5,1.5,37.0,1.1,,
pca10:Enfield North,E14000691,561.6,6.5,552.4,6.4,539.4,7.1,,,14.66,6.5,14.60,7.1,30.672,7.0,,,37.5,1.1,37.5,0.4,,
pca10:Enfield. Southgate,E14000692,623.2,8.4,602.5,8.0,596.0,8.4,,,16.64,9.1,16.64,8.8,34.714,8.3,,,36.7,1.0,36.1,1.1,,
pca10:Erith and Thamesmead,E14000696,535.8,4.8,525.2,5.8,510.7,5.7,,,13.47,5.8,13.62,6.0,27.561,9.1,,,37.5,1.7,37.5,0.3,,
pca10:Feltham and Heston,E14000701,516.4,4.4,497.1,5.8,482.3,5.8,,,12.58,6.0,12.52,6.2,26.716,5.8,,,38.0,1.5,37.5,1.2,,
pca10:Finchley and Golders Green,E14000703,614.8,5.7,613.3,6.0,607.5,6.1,,,16.44,7.4,16.44,7.4,32.685,8.5,,,37.4,1.0,37.4,1.0,,
pca10:Greenwich and Woolwich,E14000718,592.9,5.9,574.9,6.3,557.9,5.9,,,15.99,7.5,15.91,7.5,31.356,13.0,,,37.5,0.5,37.5,1.4,,
pca10:Hackney North and Stoke Newington,E14000720,612.4,6.5,593.3,5.6,584.4,6.1,,,15.74,6.8,15.74,6.7,32.741,8.3,,,37.5,0.6,37.4,1.0,,
pca10:Hackney South and Shoreditch,E14000721,574.9,6.5,574.4,6.1,574.4,6.2,,,15.47,7.1,15.29,7.2,30.770,15.0,,,37.4,1.0,37.0,1.4,,
pca10:Hammersmith,E14000726,670.8,4.7,666.4,4.6,642.4,4.7,,,17.66,6.0,17.66,6.0,37.923,17.0,,,37.5,0.0,37.5,0.1,,
pca10:Hampstead and Kilburn,E14000727,701.3,6.5,693.3,6.5,655.9,7.0,,,18.39,6.4,18.21,6.4,36.951,7.8,,,37.4,1.0,37.4,1.0,,
pca10:Harrow East,E14000731,548.8,5.4,524.0,5.7,512.4,6.2,,,13.56,6.9,13.54,6.9,29.565,6.4,,,37.5,1.1,37.5,0.7,,
pca10:Harrow West,E14000732,573.3,8.0,571.2,6.6,545.3,8.0,,,15.61,7.6,15.61,7.0,34.440,11.0,,,37.5,1.0,37.5,0.3,,
pca10:Hayes and Harlington,E14000737,531.7,5.4,494.5,5.2,479.1,6.2,,,13.32,6.2,13.26,6.7,27.753,6.7,,,38.7,1.7,37.5,1.7,,
pca10:Hendon,E14000741,537.2,8.3,526.7,7.7,517.5,7.8,,,14.09,8.0,14.03,8.0,30.047,11.0,,,37.5,1.7,37.5,0.5,,
pca10:Holborn and St Pancras,E14000750,690.9,5.1,685.9,5.2,674.3,5.2,,,18.45,6.0,18.45,6.0,37.243,9.6,,,37.0,1.5,36.5,1.7,,
